timestep,reward,distance,control_cost
819000,1567.1008,74.3315,238.4769
820000,1570.0018,74.5749,240.8728
821000,1480.3731,70.5848,244.8150
822000,1438.9496,68.3313,242.5243
823000,1540.5865,73.1322,240.2990
824000,1560.6445,74.1093,240.2227
825000,1609.4549,76.6135,242.3367
826000,1577.7488,75.1357,243.1390
827000,1603.0149,76.3648,240.9467
828000,1459.0807,69.6849,246.2732
829000,1532.8254,72.8727,241.9897
830000,1503.5714,71.5316,242.4709
831000,1513.4909,71.9773,243.1293
832000,1576.7226,75.2750,246.8984
833000,1591.9891,75.8134,244.3279
834000,1534.6474,73.0905,244.5581
835000,1474.6035,70.5563,248.6681
836000,1457.9575,69.6300,244.9716
837000,1516.8754,72.4140,245.5365
838000,1588.9526,75.9334,247.5719
839000,1590.7928,76.1604,250.0698
840000,1545.3824,73.7623,249.1137
841000,1508.9188,72.4393,252.5005
842000,1549.3842,74.1217,249.8921
843000,1576.4663,75.7682,254.4881
844000,1517.0823,72.8674,253.0682
845000,1528.6374,73.0284,248.8202
846000,1533.8987,73.4458,252.1475
847000,1573.4884,75.3241,253.3799
848000,1579.8280,75.7048,250.5955
849000,1501.9852,71.8533,247.7803
850000,1522.9826,72.9614,248.3451
851000,1589.1726,75.9293,248.1033
852000,1583.9537,75.4827,245.5660
853000,1551.5326,74.0255,247.1451
854000,1488.7581,71.0664,245.6754
855000,1553.8631,74.6465,249.3030
856000,1559.5414,74.4035,246.9104
857000,1458.2414,69.7093,247.4994
858000,1573.7348,75.3115,246.0661
859000,1544.1906,74.0264,250.5400
860000,1546.2403,73.9520,249.6801
861000,1594.9173,76.5169,251.7709
862000,1517.1770,72.6112,249.1462
863000,1566.0774,74.7074,246.5377
864000,1543.1440,73.9240,248.0135
865000,1554.7140,74.3994,247.3442
866000,1628.9424,77.9720,246.9658
867000,1476.1049,70.8691,250.3546
868000,1557.5396,74.5687,248.5527
869000,1567.6985,75.1138,251.4553
870000,1497.6700,71.6914,249.8204
871000,1588.6171,75.8516,246.4257
872000,1629.9549,78.1681,249.7887
873000,1596.2789,76.4692,249.4834
874000,1549.8643,74.3528,251.1718
875000,1492.7618,71.5299,250.7685
876000,1555.4024,74.5458,249.2918
877000,1635.0861,78.7444,254.5176
878000,1546.5540,74.0949,249.9187
879000,1639.3775,78.9747,254.2356
880000,1598.5715,76.9470,254.7230
881000,1589.5745,76.3194,254.2666
882000,1578.4459,75.8605,254.1113
883000,1535.1132,73.6863,251.9788
884000,1568.8556,75.5961,255.1717
885000,1443.5516,69.4796,253.7170
886000,1676.6504,80.6990,255.7223
887000,1528.9649,73.5318,253.9430
