timestep,reward,distance,control_cost
763000,9249.0445,472.3387,547.8721
764000,9577.4871,487.7373,546.3283
765000,10000.8411,509.0946,545.8571
766000,8978.1305,458.6786,548.7443
767000,5533.1591,282.1381,551.1202
768000,9451.8109,481.0597,546.7864
769000,8524.8194,434.8880,547.9565
770000,9548.7347,486.8210,545.9075
771000,9361.3713,476.5264,546.5133
772000,10017.8470,510.4169,543.7991
773000,7907.2680,402.4821,548.1184
774000,9549.5831,487.1088,545.7401
775000,9909.0094,504.1268,546.1549
776000,9492.8883,483.5523,546.7525
777000,9335.3498,476.5727,546.8133
778000,6201.5418,318.4405,548.6273
779000,6423.1010,328.0675,549.4262
780000,9516.9710,485.5782,546.5389
781000,9226.5480,470.9047,546.4941
782000,9337.3030,476.6340,545.6087
783000,8217.3697,420.3281,546.9770
784000,7916.7165,403.6038,546.6881
785000,9322.6707,474.8110,546.9618
786000,8410.6894,429.9863,547.8422
787000,9276.9841,473.0656,546.2408
788000,8308.0108,424.9807,546.5653
789000,9499.9633,484.2493,546.4076
790000,9331.2594,475.8471,546.0689
791000,2915.8563,142.9555,552.6674
792000,8416.0310,429.9117,546.8282
793000,7782.2452,397.4986,547.5168
794000,9354.4910,476.4184,545.3574
795000,5903.0955,302.1183,549.4184
796000,1875.8648,94.8172,551.4833
797000,3080.7677,154.3713,553.4490
798000,9078.6570,463.2365,545.2282
799000,8957.2845,456.7565,545.8284
800000,9432.8581,480.6282,544.2258
801000,6882.4896,353.4770,548.7636
802000,9540.5827,486.5774,544.4701
803000,9326.4420,475.5075,546.5399
804000,3010.3192,155.4734,550.8836
805000,9350.1047,475.8977,547.1335
806000,9490.5678,484.1436,545.5179
807000,9053.5157,462.6164,545.2021
808000,8640.2104,440.8533,546.2037
809000,9257.6480,471.0576,546.9104
810000,8344.7835,426.9385,547.8111
811000,7144.1700,366.2334,550.0013
812000,8107.5242,415.4124,545.1864
813000,9567.3783,487.4924,543.4088
814000,9310.8242,474.9369,544.4443
815000,9181.8653,468.3490,548.1204
816000,7914.0316,405.1781,547.7461
817000,9496.9153,484.1019,547.2968
818000,9582.5456,488.0331,545.6512
819000,7114.5658,365.4366,547.4443
820000,9846.3713,501.1227,546.1293
821000,9403.5888,479.8254,545.2893
822000,9776.9799,498.0890,545.5817
823000,9641.9614,491.3256,546.3717
824000,9284.2934,473.0542,547.3976
825000,9295.3833,473.6769,546.9813
826000,8557.9327,437.4596,547.9546
827000,9577.1487,488.6143,547.6009
828000,9292.8295,474.2479,546.6442
829000,8760.5971,448.2795,546.2970
830000,9298.3134,473.8797,546.2646
831000,9316.7937,475.0436,545.6431
832000,4447.2187,228.1501,552.4279
833000,8478.4997,433.4605,546.9168
834000,9371.3522,478.3553,545.7540
835000,8841.8274,451.3680,547.5022
836000,9177.8133,468.2159,546.6571
837000,8675.1976,442.7284,547.3661
838000,8917.4950,455.3546,545.4971
839000,8263.5900,423.3391,547.8821
840000,9370.6877,478.3487,546.4881
841000,9214.0519,470.3608,546.5800
842000,6945.5412,352.6532,546.8070
843000,8885.7218,453.9447,546.0061
844000,9072.6388,463.1577,546.6249
845000,8793.4213,449.2416,547.1970
846000,9648.6905,490.8516,542.2353
847000,8899.9116,453.7816,547.3433
848000,9680.0552,493.1502,546.9146
849000,9372.8717,478.6476,546.6511
850000,8989.3544,459.0552,546.8823
851000,9595.1359,488.9176,545.4699
852000,8456.1402,433.1161,547.2891
853000,9280.6622,473.8966,544.4244
854000,9438.4154,481.0870,546.9529
855000,8407.6803,428.8795,548.0980
856000,9277.0317,472.6151,542.8589
857000,8815.4937,450.6048,546.3064
858000,9510.0508,484.1484,545.5908
859000,7844.8672,401.5401,547.2758
860000,9114.1584,465.6589,547.7445
861000,9825.2562,500.7394,544.0805
862000,9679.4036,493.0236,546.2610
863000,9172.3673,467.4255,544.8178
864000,8449.1099,431.7004,547.3697
865000,8027.0518,411.2456,548.3271
866000,9365.6130,477.1624,545.1535
867000,8845.1557,451.4326,548.7548
