timestep,reward,distance,control_cost
797000,8195.7460,417.0259,512.1316
798000,10365.3783,525.0412,504.4118
799000,7926.9650,403.5452,515.6846
800000,9260.5022,470.0406,505.5057
801000,9347.3899,474.1333,505.2687
802000,9572.9348,485.1474,502.2777
803000,9599.5015,486.5634,505.1750
804000,9962.3696,504.9459,507.7616
805000,9213.3929,467.3223,508.4087
806000,10221.5909,518.3097,504.6960
807000,8995.5395,456.1214,511.0396
808000,9899.0152,501.6828,505.5936
809000,9946.4289,503.7836,505.6005
810000,9272.6199,470.6466,507.7993
811000,10066.5498,510.0519,506.2299
812000,9817.9889,497.9217,506.9185
813000,10092.6684,511.4635,507.7352
814000,9373.9462,475.7754,506.9586
815000,9687.4359,491.0493,505.2537
816000,9364.4857,475.0757,505.6853
817000,10048.7394,508.9449,504.0694
818000,9915.6874,501.6279,501.2961
819000,8887.9007,451.7771,507.2024
820000,9796.6679,496.5651,506.1177
821000,9818.2705,497.5490,505.2439
822000,9945.3854,503.9797,504.6243
823000,10021.0568,507.6570,503.4532
824000,9791.2139,497.1036,507.6657
825000,9478.5849,480.6778,505.2471
826000,9637.3964,488.2744,503.6508
827000,10213.1935,517.4279,501.8711
828000,10028.4987,508.4509,506.7150
829000,9534.3791,483.2926,504.6398
830000,23.0021,-4.2314,554.0210
831000,9995.0633,505.7268,499.0815
832000,3334.2539,166.7491,537.0892
833000,10046.8133,509.6100,508.0347
834000,6129.1702,308.8571,518.3430
835000,10031.2425,507.4702,502.1525
836000,9948.2903,504.6938,504.3406
837000,9900.2496,501.5861,502.2143
838000,10205.6231,516.5009,501.5892
839000,9667.0689,489.8157,501.0324
840000,-326.5967,-18.4297,553.4604
841000,7954.6106,403.1161,511.6651
842000,7458.9656,379.9978,511.6258
843000,10131.9204,512.8968,503.6470
844000,10083.1138,510.9520,501.2228
845000,9660.1778,489.6505,500.7106
846000,9827.8712,498.4443,504.3392
847000,10371.5333,525.7185,503.4232
848000,10287.9961,520.6519,496.1171
849000,9668.8618,490.4096,503.9075
850000,1539.4034,87.7842,546.3416
851000,3472.6321,170.3633,536.0839
852000,10372.4558,525.2005,501.8359
853000,10039.7937,508.5641,504.7428
854000,9445.9218,479.5151,505.5900
855000,4665.1738,235.0943,532.6116
856000,10193.7794,516.3113,498.7696
857000,4916.4610,248.5973,527.8159
858000,10380.9627,525.7495,499.7241
859000,10216.4388,517.9082,503.9774
860000,10353.6793,525.1249,505.8871
861000,10047.8705,509.2006,500.8867
862000,10256.5966,519.5866,500.5033
863000,10262.5673,519.4990,500.4095
864000,8750.7965,444.5814,506.3326
865000,8902.1284,452.1735,504.7500
866000,9881.1889,500.4156,501.0704
867000,9576.6867,484.9638,503.0498
868000,8690.6676,442.4533,514.1986
869000,9427.5126,478.7402,509.6744
870000,8184.6280,415.4413,512.8580
871000,8639.6557,438.7528,508.8370
872000,9615.9576,487.8609,506.5961
873000,9700.8693,492.4567,507.7570
874000,9464.7803,479.8437,508.2035
875000,10158.8771,515.1600,506.0546
876000,8185.8297,415.3502,511.3216
877000,7172.8750,362.5973,519.4279
878000,6997.1460,359.4718,519.8006
879000,9399.6893,477.3919,506.8861
880000,9863.8035,500.1340,509.0152
881000,9496.5241,481.7414,511.7401
882000,8368.8433,424.5748,510.9873
883000,10672.2479,540.4160,499.2254
884000,10090.7552,511.3972,502.6260
885000,9852.9567,499.8907,507.6095
886000,9778.2843,495.9437,505.5746
887000,10495.5863,532.3521,502.9656
888000,8598.2627,435.6399,506.4115
889000,10483.5614,530.6520,502.6739
890000,9802.1414,496.2693,499.0254
891000,10289.1377,521.2692,501.3120
892000,10671.1324,539.7607,495.4060
893000,9557.9409,484.8765,506.2053
894000,5287.3475,265.2318,528.9230
895000,9998.9099,506.2692,500.0955
896000,9793.4201,496.3142,501.8469
897000,10473.3589,529.9820,495.2956
898000,10439.3824,528.8777,496.4783
899000,10120.6913,512.6914,501.0867
900000,9057.4023,459.1880,505.1273
901000,5929.7436,301.0320,527.2485
902000,10160.7230,514.8783,503.5166
903000,10749.3604,543.9677,501.6908
904000,7978.1421,406.7187,513.0911
905000,10232.0206,518.1590,503.6246
906000,9893.6433,501.4398,502.9171
907000,7171.4636,364.0292,520.9430
908000,9699.9371,491.2744,505.1738
909000,9603.2279,487.1974,507.2255
910000,10660.7876,539.0560,498.9261
911000,10178.8716,515.5024,502.2445
912000,8699.5682,442.0186,510.7445
913000,10770.8445,545.5955,505.7751
914000,10591.1264,535.9670,501.8762
915000,10360.1980,524.8510,500.2179
916000,8883.8534,451.1084,506.0506
917000,10382.1088,525.5262,499.6311
918000,9764.8896,495.2640,504.0831
919000,9608.7403,486.9570,502.0910
920000,8580.7689,437.0520,513.2171
921000,10469.7916,530.4431,499.0078
922000,10168.0428,514.5661,498.0140
923000,10414.2569,527.2072,501.8884
924000,10484.4415,530.6892,501.5603
925000,10326.2755,523.5971,505.5063
926000,10529.1844,532.9377,500.9585
927000,8949.2773,453.4281,509.5978
928000,7361.0525,372.0971,521.7671
929000,10222.1159,518.2584,503.9413
930000,10529.8301,533.7983,503.4453
931000,7486.3640,381.2871,514.8993
932000,10278.0289,520.7981,500.6479
933000,10177.6251,515.2557,500.9415
934000,9406.0594,477.1355,501.2234
935000,65.2239,-1.0368,554.4114
936000,9928.2343,503.1364,501.9295
937000,10079.6375,510.8911,502.6414
938000,6481.0662,331.5886,522.8019
939000,8788.3797,445.5680,508.2288
940000,10217.3925,517.2386,502.7985
941000,9790.1984,496.2844,497.3986
942000,10133.5415,513.0798,497.3985
943000,9141.7214,462.6868,502.3603
944000,10146.7138,513.5105,495.6100
945000,10068.2779,510.0812,500.0860
946000,10570.0662,535.1810,498.5986
947000,6322.0469,322.0047,520.8259
948000,9728.7054,494.2911,506.6040
949000,10107.9635,511.8130,500.1709
950000,10373.4457,525.1889,497.5404
951000,10181.0438,515.7345,501.1381
952000,9656.9942,489.7572,500.9017
953000,9078.7266,460.7924,506.1030
954000,10520.0693,532.8076,499.6449
955000,10810.5365,546.7046,495.2220
956000,9939.2256,503.5973,500.9699
957000,10559.6003,534.9203,496.1478
958000,10482.9451,530.9473,500.2252
959000,10796.6527,546.1644,497.1166
960000,8480.4871,428.0734,509.9980
961000,7025.9309,357.9697,517.0621
962000,9769.6414,495.4653,504.1473
963000,9631.2274,489.1753,503.7761
964000,9076.8757,460.1523,504.6894
965000,10785.9849,545.6725,495.7989
966000,9811.6463,498.0591,501.5259
967000,6256.5604,323.6065,523.8359
968000,9052.8389,459.3133,505.2336
969000,10054.5320,509.7521,497.7272
970000,9598.7447,486.7509,509.9359
971000,10070.9071,510.6146,499.4832
972000,11042.4052,558.8727,498.1871
973000,10527.5588,533.8346,501.2554
974000,10718.9749,542.8107,503.3025
975000,3841.2377,193.6807,535.2316
976000,10132.8989,514.2580,508.6135
977000,10467.0019,530.6161,499.6967
978000,9339.7418,473.3299,506.0102
979000,10192.0983,516.3091,497.9072
980000,10380.4939,526.0835,505.3706
981000,10551.8565,534.4878,502.5158
982000,10663.7076,540.0904,499.6109
983000,8912.2128,452.6187,510.9050
984000,8146.9218,413.1941,510.2632
985000,10763.5288,545.0453,500.6232
986000,6790.9062,345.7383,523.7862
987000,10951.4593,554.5865,500.1737
988000,10184.8681,515.5782,497.4718
989000,9953.9122,504.2914,501.5035
990000,5602.4266,284.1172,527.5894
991000,9889.7189,501.0452,499.6209
992000,9019.8176,458.2413,505.6839
993000,9710.5053,492.0432,503.9471
994000,10400.0930,526.1195,495.3521
995000,10497.8053,531.3597,501.4584
996000,10354.6271,524.5933,498.3001
997000,9832.0047,498.0308,502.8826
998000,10291.7683,521.2005,501.8665
999000,10232.9248,518.2390,501.3241
1000000,10380.1048,525.0338,496.5129
